Label,Year,Indigenous protected land area (ha),National parks (ha),Nature reserves (ha),All other protected land areas (ha),Total protected land area (ha),Indigenous protected land area (%),National parks (%),Nature reserves (%),All other protected land areas (%),Total protected land area (%)
Kondinin,2020,0,0,"29,019",457,"29,477",0.0,0.0,3.9,0.1,4.0
Kondinin,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kondinin,2022,0,0,"29,019",457,"29,477",0.0,0.0,3.9,0.1,4.0
Kondinin,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Koorda,2016,0,0,"6,507",34,"6,541",0.0,0.0,2.3,0.0,2.3
Koorda,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Koorda,2018,0,0,"6,507",34,"6,541",0.0,0.0,2.3,0.0,2.3
Koorda,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Koorda,2020,0,0,"6,507",34,"6,541",0.0,0.0,2.3,0.0,2.3
Koorda,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Koorda,2022,0,0,"6,507",34,"6,541",0.0,0.0,2.3,0.0,2.3
Koorda,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kulin,2016,0,0,"28,810",0,"28,810",0.0,0.0,6.1,0.0,6.1
Kulin,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kulin,2018,0,0,"28,810",0,"28,810",0.0,0.0,6.1,0.0,6.1
Kulin,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kulin,2020,0,0,"28,810",0,"28,810",0.0,0.0,6.1,0.0,6.1
Kulin,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kulin,2022,0,0,"28,810",0,"28,810",0.0,0.0,6.1,0.0,6.1
Kulin,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kwinana,2016,0,12,468,0,480,0.0,0.1,3.9,0.0,4.0
Kwinana,2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kwinana,2018,0,12,468,0,480,0.0,0.1,3.9,0.0,4.0
Kwinana,2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kwinana,2020,0,284,468,0,752,0.0,2.4,3.9,0.0,6.3
Kwinana,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kwinana,2022,0,284,468,0,752,0.0,2.4,3.9,0.0,6.3
Kwinana,2023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lake Grace,2016,0,"53,139","145,813",252,"199,204",0.0,4.5,12.3,0.0,16.8
